paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;iso-3;date_start;date_end;author;bibl;add_inf;add_inf_2
Translation of L;Libre dels set savis de Roma;;;;;;;Catalan;;ESP;1275;1325;;Barcelona, Biblioteca de Catalunya, 109;https://arlima.net/no/2499;
Translation of L;Libre dels set savis de Roma;;;;;;;Catalan;;ESP;1401;1426;;Carpentras, Bibliothèque Inguimbertine, 381, f. 176r-207r;https://www.arlima.net/mss/france/carpentras/bibliotheque_inguimbertine/381.html#F176;
;Libro de los engaños e los asayamientos de las mugeres;;;;;;;Spanish;;ESP;1253;;;Madrid, Biblioteca de la Real Academia española, « El Conde Lucanor, Ms. Antigua », f. 63r-79v;https://arlima.net/no/405;
Translation of S;Libro de los siete sabios;;;;;;;Spanish;;ESP;1475;1500;Diego de Cañizares;Madrid, Biblioteca nacional de España, 6052, f. 1r-16v;https://arlima.net/no/3198;
Translation of the Dolopathos;Le roman de Dolopathos;;;;;;;French;;FRA;1250;1299;Herbert ;Montpellier, Bibliothèque interuniversitaire, Section médecine, H 436;https://portail.biblissima.fr/fr/ark:/43093/mdata76c1eeec539d35281f2ff2c9b8598050a29ff156;
Translation of the Dolopathos;Li remans des sept sages de Roume;;;;;;;French;;FRA;1225;1250;Herbert ;Paris, Bibliothèque nationale de France, Français 1450, f. 238rb-264vc;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc45051h;
Translation of the Dolopathos;Le roman de Dolopathos;;;;;;;French;;FRA;1266;1300;Herbert ;Paris, Bibliothèque nationale de France, Français 24301, p. 299a-474a;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/francais/24301.html#P299;
Translation of the Dolopathos;Le roman de Dolopathos;;;;;;;French;;FRA;1201;1400;Herbert ;Paris, Bibliothèque nationale de France, nouvelles acquisitions françaises, 934, f. 15r-vb;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/nouvelles_acquisitions_francaises/934.html#F15;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1278;;;Arras, Médiathèque municipale, 139;https://www.arlima.net/mss/france/arras/bibliotheque_municipale/139.html;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1225;1275;;Bern, Burgerbibliothek, 354, f. 184r;https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0354;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1275;1325;;Bern, Burgerbibliothek, 388;https://www.e-codices.unifr.ch/en/list/one/bbb/0388;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1293;;;Bruxelles, Bibliothèque royale de Belgique, 10171;https://portail.biblissima.fr/fr/ark:/43093/mdatacbf85e9309a3584848dfb6fa1182dff216c0c18d;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1295;1305;;Cambridge, University Library, Gg.6.28, f. 69v-117r;https://www.arlima.net/mss/united_kingdom/cambridge/university_library/Gg_6_28.html#F69;
A;Le roman des Sept Sages de Rome;Marques de Rome;;;;;;French;;FRA;1201;1300;;Paris, Bibliothèque nationale de France, Arsenal, 3152, f. 1;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc83881n;
